PUBLISHER|TITLE|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce059|Quiero Tocar Tu Uniforme|quiero-tocar-tu-uniforme|-|Yaoi|Tankōbon|manga|monthly|completed|2|2021-11-14|Boys Love, Drama, Erotica|Author: Yoshimi Touda|/ediciones/611423/quiero_tocar_tu_uniforme-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05a|Radiant|radiant|-|Shōnen|Tankōbon|manfra|bimonthly|ongoing|16|2019-05-22|Adventure, Fantasy|Author: Tony Valente|/ediciones/528903/radiant-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=100-139&product_list_order=name&q=Radiant
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05b|Ranma 1/2|ranma-½|-|Shōnen|Tankōbon|manga|monthly|completed|38|2017-03-01|Adventure, Martial Arts, Romantic Comedy|Author: Rumiko Takahashi|/ediciones/410035/ranma_12-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05c|Rent-A-Girlfriend|rent-a-girlfriend|-|Shōnen|Tankōbon|manga|monthly|ongoing|25|2021-06-23|Harem, Romantic Comedy|Author: Reiji Miyajima|/ediciones/605158/rent-a-girlfriend-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=119-744&product_list_order=name&q=rent-a-girlfriend
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05d|Re:Zero (Chapter one)|re-zero-chapter-one|-|Shōnen|Tankōbon|manga|monthly|completed|2|2018-07-04|Adventure, Comedy, Drama, Fantasy, Romance|Author: Tappei Nagatsuki|/ediciones/506110/rezero_-_capitulo_1_un_dia_en_la_capital_imperial-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05e|Re:Zero (Chapter two)|re-zero-chapter-two|-|Shōnen|Tankōbon|manga|bimonthly|completed|5|2019-03-06|Adventure, Comedy, Drama, Fantasy, Romance|Author: Tappei Nagatsuki|/ediciones/528133/rezero_-_capitulo_2_una_semana_en_la_mansion-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce05f|Re:Zero (Chapter three)|re-zero-chapter-three|-|Shōnen|Tankōbon|manga|bimonthly|completed|11|2020-04-01|Adventure, Comedy, Drama, Fantasy, Romance|Author: Tappei Nagatsuki|/ediciones/568086/rezero_-_capitulo_3_la_verdad_de_zero-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce060|Resident Evil: Marhawa Desire|resident-evil|-|Shōnen|Tankōbon|manga|monthly|completed|5|2015-10-18|Horror|Author: Naoki Serizawa|/ediciones/394252/resident_evil_marhawa_desire-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce061|Rock Lee no Seishun Full-Power Ninden|rock-lee|-|Shōnen|Tankōbon|manga|bimonthly|completed|7|2020-07-15|Adventure, Fantasy Comedy, Martial Arts|Author: Taira Kenji|/ediciones/574990/rock_lee_la_primavera_de_una_juventud_ninja-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce062|Rosario + Vampire|rosario-vampire|-|Shōnen|Tankōbon|manga|bimonthly|completed|10|2017-02-08|Harem, Romantic Comedy, Supernatural|Author: Akihisa Ikeda|/ediciones/409428/rosario_vampire-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce063|Rosario + Vampire Season II|rosario-vampire-season-2|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|14|2020-09-02|Harem, Romantic Comedy, Supernatural|Author: Akihisa Ikeda|/ediciones/575076/rosario_vampire_season_ii-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=ROSARIO+VAMPIRE+SECOND+SEASON&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce064|Rooster Fighter|rooster-fighter|-|Seinen|Tankōbon|manga|undefined|ongoing|2|2021-08-28|Action, Comedy, Parody|Author: Shū Sakuratani|/ediciones/609638/rooster_fighter-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=rooster+fighter&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce065|Rin-ne (Kyoukai no Rinne)|rin-ne|-|Shōnen|Tankōbon|manga|bimonthly|completed|40|2017-01-18|Romantic Comedy, Slice of Life, Supernatural|Author: Rumiko Takahashi|/ediciones/408721/rin-ne_-_circulo_de_reencarnacion-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce066|Ruroni Kenshin (Samurai X)|ruroni-kenshin|-|Shōnen|Kanzenban|manga|bimonthly|ongoing|22|2020-02-19|Adventure, Martial Arts, Romance|Author: Nobuhiro Watsuki|/ediciones/568041/ruroni_kenshin_-_edicion_kanzenban-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=199-372&product_list_order=name&q=kenshin
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce067|Sailor Moon|sailor-moon|-|Shōjo|Tankōbon|manga|monthly|completed|12|2015-09-09|Magical Girl, Fantasy, Romance, Adventure, Drama, Comedia|Author: Naoko Takeuchi|/ediciones/394056/pretty_guardian_sailor_moon-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce068|Sailor Moon: Short Stories|sailor-moon-short-stories|-|Shōjo|Tankōbon|manga|monthly|completed|2|2017-02-22|Magical Girl, Fantasy, Romance, Adventure, Drama, Comedia|Author: Naoko Takeuchi|/ediciones/409867/pretty_guardian_sailor_moon_short_stories-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce069|Sailor V|sailor-v|-|Shōjo|Tankōbon|manga|monthly|completed|2|2017-04-26|Magical Girl, Fantasy, Romance, Adventure, Drama, Comedia|Author: Naoko Takeuchi|/ediciones/472044/codename_sailor_v-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06a|Saint Seiya|saint-seiya|-|Shōnen|Kanzenban|manga|monthly|completed|22|2018-08-15|Fantasy, Martial Arts, Mythological|Author: Masami Kurumada|/ediciones/509471/saint_seiya_-_ultimate_edition-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06b|Saint Seiya: Saintia Shō|saint-seiya-saintia-sho|-|Seinen|Tankōbon|manga|bimonthly|ongoing|16|2019-02-16|Magical Girl, Fantasy, Martial Arts, Mythological|Creator: Masami Kurumada; Author: Chimaki Kuori|/ediciones/524630/saint_seiya_-_saintia_sho-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=saint+seiya+saintia+sho&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06c|Saint Seiya: The Lost Canvas|saint-seiya-the-lost-canvas|-|Shōnen|Tankōbon|manga|bimonthly|completed|25|2014-03-14|Fantasy, Martial Arts, Mythological|Creator: Masami Kurumada; Author: Shiori Teshirogi|/ediciones/354938/saint_seiya_-_the_lost_canvas-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06d|Saint Seiya: The Lost Canvas Gaiden|saint-seiya-the-lost-canvas-gaiden|-|Shōnen|Tankōbon|manga|monthly|completed|16|2017-03-22|Fantasy, Martial Arts, Mythological|Creator: Masami Kurumada; Author: Shiori Teshirogi|/ediciones/410793/saint_seiya_-_the_lost_canvas_gaiden-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06e|Sakamoto desu ga?|sakamoto-desu-ga|-|Seinen|Tankōbon|manga|bimonthly|completed|4|2017-04-12|Comedy|Author: Nami Sano|/ediciones/411477/sakamoto_desu_ga_im_sakamoto_you_know-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce06f|SandLand|sandland|-|Shōnen|Tankōbon|manga|one-shot|completed|1|2020-10-14|Adventure, Comedy, Science Fiction|Author: Akira Toriyama|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce070|Samurai 7|samurai-7|-|Shōnen|Tankōbon|manga|monthly|completed|2|2016-08-24|Action, Fantasy, Science Fiction|Author: Akira Kurosawa|/ediciones/403692/samurai_7-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce071|Seraph of the End|seraph-of-the-end|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|26|2017-11-01|Dark Fantasy, Post-Apocalyptic, Vampire|Writer: Takaya Kagami; Illustrator: Yamato Yamamoto|/ediciones/489052/seraph_of_the_end-rustica/todos|/catalogsearch/result/index/?product_list_order=name&q=seraph+of+the+end
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce072|Shaman King [Complete Edition]|shaman-king|-|Shōnen|Tankōbon|manga|monthly|ongoing|35|2020-10-28|Adventure, Supernatural|Author: Hiroyuki Takei|/ediciones/589294/shaman_king-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=199-666&q=shaman+king&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce073|Sherlock|sherlock|-|Seinen|Tankōbon|manga|quarterly|completed|5|2017-05-24|Action, Crime, Drama, Mistery, Fiction, Psychological Thriller|Author: Jay|/ediciones/483526/sherlock-rustica_con_solapas/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce074|Slam Dunk|slam-dunk|-|Shōnen|Kanzenban|manga|bimonthly|ongoing|24|2019-02-12|Comedy, Coming-of-Age, Sports|Author: Takehiko Inoue|/ediciones/524761/slam_dunk-rustica_con_solapas/todos|/catalogsearch/result/index/?product_list_order=name&q=slam+dunk
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce075|Solanin|solanin|-|Seinen|Tankōbon|manga|bimonthly|completed|2|2021-09-29|Coming-of-Age, Romance, Slice of Life|Author: Inio Asano|/ediciones/611289/solanin-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce076|Sora no Otoshimono|sora-no-otoshimono|-|Shōnen|Tankōbon|manga|monthly|completed|20|2017-03-09|Comedy, Fantasy, Harem|Author: Suu Minazuki|/ediciones/410231/sora_no_otoshimono-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce077|Soul Eater|soul-eater|-|Shōnen|Tankōbon|manga|monthly|completed|25|2017-10-18|Action, Dark Comedy, Dark Fantasy|Author: Atsushi Ohkubo|/ediciones/488516/soul_eater-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce078|Spy X Family|spy-x-family|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|8|2021-02-10|Action, Comedy, Spy|Author: Tatsuya Endo|/ediciones/599163/spy_x_family-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=SPY+X+FAMILY&product_list_order=name
